🆚央视,#genre#
CCTV1,mitv://generationnexxxt.com:19806/ed4a6f0452a24765bc252f219b5f3d70
CCTV2,mitv://generationnexxxt.com:19806/d6bab1cf99c84393bc5cfec7f3f1ce1a
CCTV3,mitv://generationnexxxt.com:19806/2b71b803204a4db68b811aeebff78583
CCTV4,mitv://generationnexxxt.com:19806/184980ad9121443fa6b45c9f6c3f9e3c
CCTV5,mitv://generationnexxxt.com:19806/3b142cffb4924301b28c5f605630801e
CCTV5+,mitv://generationnexxxt.com:19806/523c903908b7424f9f71bf77a2427b71
CCTV6,mitv://generationnexxxt.com:19806/fabe340b1cc94bc8a42db4844fb7e497
CCTV7,mitv://generationnexxxt.com:19806/bdb65d653d2047b28f0b63754eaedf7f
CCTV8,mitv://generationnexxxt.com:19806/0b89dbe0103d4b7c996322d23953ee61
CCTV9,mitv://generationnexxxt.com:19806/5f684b66c63e4e13a64d397bdcfc6080
CCTV10,mitv://generationnexxxt.com:19806/e80d571550544cec9c042cd582afe711
CCTV11,mitv://generationnexxxt.com:19806/8904b82974004fa3b0322f4d1961d8ce
CCTV12,mitv://generationnexxxt.com:19806/d9aa973d952a4400b770e0e159556464
CCTV13,mitv://generationnexxxt.com:19806/707de9b4cd414d8d9a0d22412f0f7fbc
CCTV14,mitv://generationnexxxt.com:19806/85745f450c384b1e9a8b632423828e4f
CCTV15,mitv://generationnexxxt.com:19806/e01f3a43c75241bbbc11e400490c45eb
🆚卫视,#genre#
北京卫视,mitv://generationnexxxt.com:19806/a3e3c842f02b4310ad20ee0d674b4069
天津卫视,mitv://generationnexxxt.com:19806/0570c5d497424b078016e71d895f2378
河北卫视,mitv://generationnexxxt.com:19806/2a4ffc107fe746839d9d3387de7c075e
黑龙江卫视,mitv://generationnexxxt.com:19806/d50c061da11d4424b8a8c4ab727e38db
辽宁卫视,mitv://generationnexxxt.com:19806/43846bcf0cd24cc7958b51f7884ff9a9
东方卫视,mitv://generationnexxxt.com:19806/f7afa7867a6449f2bd3e564e9e1f0aa8
江苏卫视,mitv://generationnexxxt.com:19806/1b66ef559b884b0289be4f673d58c64e
浙江卫视,mitv://generationnexxxt.com:19806/e1f5b000c00d469898fab04255fa79f9
江西卫视,mitv://generationnexxxt.com:19806/30720a578c18454db5c05316c0126e85
山东卫视,mitv://generationnexxxt.com:19806/c862278114494f07a4342fedcab6546a
东南卫视,mitv://generationnexxxt.com:19806/d403265cb7e449d48b233bfd69ded0da
湖北卫视,mitv://generationnexxxt.com:19806/0535c6690dd940d8b186c4bbc0290869
湖南卫视,mitv://generationnexxxt.com:19806/749f84d182be40fbb36dc2c46b21ccee
深圳卫视,mitv://generationnexxxt.com:19806/ce763fb44691406988f1b4ae4cc6cbcc
广东卫视,mitv://generationnexxxt.com:19806/8f9f5bf3b1554ef38a7916572c4ea0dc
广西卫视,mitv://generationnexxxt.com:19806/58114cdc99154889ae502382a9ff3507
重庆卫视,mitv://generationnexxxt.com:19806/72c8ce08e4394b5e86aa3c36e96d2baf
云南卫视,mitv://generationnexxxt.com:19806/0d3dca6951db442aa7da18b7ad7b2d01
星空卫视,mitv://generationnexxxt.com:19806/940e43349642479a843d8b9bc53c47d3
广东南方卫视,mitv://generationnexxxt.com:19806/9d3cacc5ca5d4c2fa444b4ab624806cb
珠江台,mitv://generationnexxxt.com:19806/caf4a9197ad347f3a0a0c67469ecdb12
动漫秀场,mitv://generationnexxxt.com:19806/606e6f2ed605464398838a28a8eedcca
魅力足球,mitv://generationnexxxt.com:19806/8c75b45557f64dbba65257a5c9096077
五星体育,mitv://generationnexxxt.com:19806/959661cff0a04f3992d128dd93281579
广东体育,mitv://generationnexxxt.com:19806/e9e2075a549c4f98802b4c029614289d
CHC动作电影,mitv://generationnexxxt.com:19806/1c38c3ebe98f4365978a213d84d1d11b
CCTV16,mitv://generationnexxxt.com:19806/1fad65cc089b41fb9f35b66bc73800e4
广东影视,mitv://generationnexxxt.com:19806/00f9795a39fe455a8aada20e2b6e7cfc
CHC高清电影,mitv://generationnexxxt.com:19806/dd917220abee49abbee90ffa427117ce
CHC家庭影院,mitv://generationnexxxt.com:19806/502a4e7d1559401dbf6d8fbbd765d4a9
🆚4K,#genre#
e21.cjyun.org/10111/s10111-ZGTV1.m3u8?auth_key=1672502399-0-0-17fadbf9472366a8dd59500f240acf37
